Frame,Time,Elbow Angle,Shoulder Angle,Hip Angle,Knee Angle,Wrist Velocity,Elbow Velocity,Shoulder Velocity,Hip Velocity
0,1741825482.3982065,97.1260393420461,29.65076100880429,176.41255424451313,175.67225825740277,2.32535944816998,0.5305488767266929,0.06003291950765029,0.7658955993178567
1,1741825482.5321782,95.72990303007533,30.306878996409935,176.2572240807708,175.55378192315612,0.1754473607712921,0.14906635548532468,0.05032836374958844,0.061305121159769174
2,1741825482.6140237,82.63558303504523,32.08972005618857,176.43151176265005,175.12686033532842,0.6822443840782054,0.3562992723200696,0.08135955788931021,0.0493273342494664
3,1741825482.6920042,89.00924361448143,30.226299162046196,176.55437984673375,175.07038778837423,0.24940825145407164,0.06281992461306682,0.10743580914260836,0.08967229968907388
4,1741825482.7651422,87.84987879505077,29.26440821463082,176.56023549762318,175.07888626945362,0.11519265208680778,0.03767659428530039,0.06200275237889641,0.03183494248110287
5,1741825482.8556085,79.89110279983286,29.407582285308564,176.63444678146655,175.04011491131016,0.2926228188707287,0.0981583071807342,0.017453332558079043,0.07317033655972163
6,1741825482.9417756,83.70215921949674,29.639270516497536,176.61510524349578,175.0045147659329,0.0915386066674382,0.019642171921133877,0.006845197063654715,0.046072420712632865
7,1741825483.0180233,76.01204156957449,29.466701091531256,176.57797532957713,174.98522849389548,0.32611914090441285,0.04857631157130916,0.001499827540882147,0.1477955802377088
8,1741825483.0885313,74.15941141692126,30.04654393861254,176.69225839069549,174.8091128111957,0.22878051026495233,0.18455559105707026,0.011117053434376002,0.021333202654674248
9,1741825483.18793,64.97139830518704,30.338654893793432,176.71166269300411,174.31783454371939,0.2805089423807108,0.06509811021304365,0.01486395184843718,0.006853988024978477
10,1741825483.259511,65.4640781485035,30.43625765981862,176.68126414875877,174.16819122012046,0.02437888677171746,0.011317008793274456,0.011833485518937297,0.007435950026490161
11,1741825483.3332574,60.455078906120875,30.64727743828619,176.92131561039457,174.19257823909442,0.23898315355418923,0.08988820037182506,0.03441739046417425,0.05438983286297244
12,1741825483.3959305,58.556796130630936,31.256073485872324,177.1361868856552,174.41443437377785,0.05151858667484305,0.014515766224093934,0.10667586754394737,0.05332283707958683
13,1741825483.4637883,58.64354207073536,31.800425653372933,177.31249923100896,174.53587980798156,0.019114971120562117,0.013167623176223768,0.07580609447007144,0.04317997281909543
14,1741825483.5400207,86.00754661794613,31.40163740676405,177.21429134134578,174.73232439988124,0.9157016219476921,0.0978092544543619,0.004274149855035786,0.003075773262334912
15,1741825483.6159894,122.73734665327434,30.756760861600323,176.936617986096,174.98574629408282,1.6770504419302823,0.4187512160852572,0.05469179669843726,0.0010014288651582464
16,1741825483.6941988,118.31008922837718,31.88756088402826,176.90087343866088,175.01547453232624,0.32184675171204263,0.06946903926207869,0.027315602916775105,0.010413513641669167
17,1741825483.7476506,115.28296006810886,32.43832332571132,176.8832090734788,175.0184205215814,0.18942246345923525,0.04651387865401771,0.021327917579516128,0.012089853284819261
18,1741825483.810325,110.61310599445723,32.55921815768842,176.77870143987784,175.22298037057905,0.177820646438015,0.009469903114836494,0.01860979234103643,0.12783881763649793
19,1741825483.867442,105.57718840921238,33.199976623537644,176.30896578706447,175.67139129055624,0.13204004290750912,0.08664548691153888,0.07812049875085501,0.03441954454055835
20,1741825483.9345367,102.48471826221007,33.70176428819623,175.99692084988533,175.9562853315421,0.05233739022266025,0.06173506375504534,0.04541983099288594,0.021008577034647154
21,1741825484.0039098,103.55190544957297,34.63282068499528,175.89783523414752,175.90281964347352,0.14847973483502774,0.06533411698478697,0.0404515008293495,0.0024348435092932824
22,1741825484.072717,100.01612880303736,34.366650627650166,175.59099466403515,175.7990810818626,0.14726095563011274,0.006628403978673428,0.054354612602878986,0.01148190394870258
23,1741825484.1356602,97.53239930206358,34.257107422394526,175.37535263362173,175.75716435135135,0.10831810920797157,0.010321447765789091,0.03786745918311041,0.007133858438386379
24,1741825484.1930318,97.13560757049227,34.130711167374976,175.26798610424407,175.7075535618365,0.021768534367040477,0.0074118712199469335,0.02007242997651336,0.05863950935447355
25,1741825484.258775,98.4167497240901,34.11081138970109,175.19697823167851,175.76074605219966,0.06951550778686662,0.008856829271874176,0.006672795456709725,0.031137717301328093
26,1741825484.3216271,134.4719195248471,29.75199610204765,174.8536950094748,176.3032480604847,2.9739218710571147,0.9355206426695114,0.01771231046807546,0.015072962668521957
27,1741825484.3767796,128.9651966114408,29.8327721822961,174.89519452704914,176.29466466095826,0.744731927375985,0.03316456567174817,0.003247082652730072,0.020284059782041054
28,1741825484.4490519,126.9519745401758,29.802412889361335,174.934368893837,176.28100580123547,0.12581917543602528,0.00684196096910921,0.004620178403547933,0.014547288252925675
29,1741825484.5026243,127.64224398894372,30.819004635991174,174.7839357002604,176.2425317052892,0.17948980211802304,0.1028626978125029,0.051673650392448686,0.03905226263817163
30,1741825484.5697527,131.6332747953067,31.285084270039132,174.3289261105371,176.37949107256566,0.5722468495899148,0.07386978450276822,0.04132426098564304,0.06641272210004819
31,1741825484.6312532,133.28976276755915,31.56140850780865,174.00238042441748,176.61126503021038,0.3782270212616207,0.07618493355441174,0.03153877822006471,0.06014002492088072
32,1741825484.6884015,135.30412708060007,31.107143163980684,173.8706467167098,176.77386990873754,0.14650235481493798,0.09653719495317571,0.007344661196194567,0.021138364958216763
33,1741825484.762313,135.93694695093714,30.835134134494144,173.82526501735467,176.91551958957155,0.13062976440798854,0.06753439426999384,0.006019388329997861,0.013619382549638466
34,1741825484.8317482,136.13175169123753,30.67332556456007,173.82356282400997,176.98462042827592,0.07662422977115932,0.041362812293181686,0.008537246559923113,0.010411561099824811
35,1741825484.8875487,136.49505083420112,30.66714482354066,173.64265127392585,177.17445299165234,0.21503328128070284,0.018912782286459866,0.0238259746531245,0.034238584990294134
36,1741825484.9725373,136.39107836090838,30.744408059906444,173.66494549021837,177.73406741473002,0.08673997620498018,0.015063088829540803,0.006079523454098759,0.0037006185550945755
37,1741825485.0375729,136.19705872422188,30.810732899635425,173.6980078932079,178.09208547522488,0.0557995871436249,0.015309462139000224,0.011431749605783458,0.0032176898019558274
38,1741825485.0973132,141.063027160914,30.031725617437893,173.76903552606407,178.41438625214516,0.6936413516972433,0.1830781104220975,0.001830005292623853,0.0708317210245815
39,1741825485.162637,139.98847045500474,30.240874171065833,173.91076400562866,178.58383246593195,0.1446989552405409,0.058256611248985804,0.009244232293420735,0.01857850301511689
40,1741825485.227074,138.99342717574618,30.513948472254462,174.05469385162576,178.5720518097456,0.06740662379524469,0.06450005837598494,0.006590654396533503,0.0114023111431324
41,1741825485.2873745,137.92728481724797,30.671789387121933,174.2378536752866,178.3903182820294,0.10738139435335076,0.043249821946315124,0.018243406645965105,0.024001478140809152
42,1741825485.3674881,137.94179375625953,29.580960175248013,174.1395515978654,178.39230958976546,0.16237571257524697,0.11585995579610697,0.013236568904856532,0.05818880285210776
43,1741825485.4408457,138.49206778985362,28.99916951656456,174.0636049405153,178.3824295320967,0.05545695902675715,0.07717966033430823,0.017242722629718606,0.04542435592669906
44,1741825485.4948936,139.06727918500798,29.059593400497953,174.02125109506534,178.04972511021683,0.16786480131652276,0.015476494310239888,0.003755621724337271,0.16693291845519803
45,1741825485.556926,143.35280887632823,28.787081557232696,174.04513729737647,178.01709553946642,0.5814053026869744,0.1212961333608946,0.016596458565662636,0.009804755210990624
46,1741825485.6590905,144.74893374866542,28.555380495093644,174.0560090153393,178.00495677619477,0.15508527751692294,0.04817500449758174,0.009288275339928168,0.0010069227211484176
47,1741825485.7168736,144.8560329245049,28.592234139260423,174.01851375055475,178.00140705776863,0.11812884542226129,0.013013545446055085,0.017704356950023543,0.0021247428112222367
48,1741825485.780428,144.46781510309165,28.48047212261808,173.96323011529498,177.9774413540889,0.029938481928362307,0.0552767799749084,0.06641744044524676,0.04822585565586357
49,1741825485.8451447,144.41914549824259,28.4422636111419,173.91780037276655,177.96169468820696,0.008222652463974639,0.02680800730779639,0.0416134924546674,0.03082618196424061
50,1741825485.9021003,141.87225906052177,28.523904421203547,174.0495774860245,178.08017140055068,0.23560133822522653,0.044147043303511976,0.021952449886005258,0.0025015118994562613
51,1741825485.970148,140.28648492548047,29.197594021681713,174.12202440587433,178.1122371442166,0.2332798973652724,0.1197350155056203,0.028727462891945218,0.003269045210455171
